Reference, Quantity, Value, Footprint, Datasheet, PN, SigName
C1 C4 ,2,"100n","MySMT:C_0402_HS","~"
C2 C3 ,2,"22/10V","MySMT:CP_3216-HS","~"
C5 ,1,"1u","MySMT:C_0402_HS","~"
C6 ,1,"470p","MySMT:C_0805_HS","~"
C7 ,1,"15/6,3V","MySMT:CP_3216-HS","~"
D1 ,1,"G","MySMT:LED0603_HS","~"
D2 ,1,"Or","MySMT:LED0603_HS","~"
D3 ,1,"Y","MySMT:LED0603_HS","~"
FB1 ,1,"Z600","MySMT:R_0805_HS","~"
J1 ,1,"JST-XH(4p 2.5mm)","MyConnectors:WG04R-2.5-04P-H","~"
J2 ,1,"USBPlug","MySMT:USB_Plug_Molex_48037-2200",""
J3 ,1,"ESP_FLASH_CONN","MyConnectors:WE06DH-1.0-06P-H",""
M1 ,1,"ESP8266_ESP-12E","MyModules:ESP-12E",""
P1 ,1,"IR","MyConnectors:WG00x-2.5-00-V-PAD",""
P2 ,1,"IR+","MySMT:SMT_PAD_2x2mm_noFrame",""
R1 R8 R9 ,3,"4k3","MySMT:R_0402_HS","~"
R10 R12 ,2,"10k","MySMT:R_0402_HS","~"
R13 R14 ,2,"10k","MySMT:R_0402_HS2","~"
R15 ,1,"470R","MySMT:R_0603_HS","~"
R2 R3 ,2,"22R","MySMT:R_0402_HS","~"
R4 R5 R6 R7 R11 ,5,"22k","MySMT:R_0402_HS","~"
SW1 ,1,"BOOT","MySwitches:CK_KXT3","","KXT321LHS",""
SW2 ,1,"RESET","MySwitches:CK_KXT3","","KXT321LHS",""
T1 T2 ,2,"RK7002DW","MySMT:SOT-363_SC-70-6_HS",""
TP2 TP7 ,2,"TP","MySMT:SMT_PAD_2mm_noFrame","","","3V3"
TP1 TP3 TP4 TP5 TP6 ,5,"TP","MySMT:SMT_PAD_1mm_noFrame","","","RST"
U1 ,1,"1117-33","MySMT:SOT-223-3",""
